date,receiver_bank,blood_group,component_type,closing_inventory,safety_stock,deficit_units,transfer_received,inventory_after_transfer,remaining_deficit,transfer_status,donor_bank,recommended_transfer_units,donor_wastage_risk,receiver_risk_score,recommended_action
2024-10-03,BB001,AB+,Platelets,2,3.631672876227491,2,2,4.0,0.0,Resolved,BB004,2,0.9441921154500154,0.5554968629282978,Transfer recommended
2024-10-05,BB001,AB+,Platelets,0,3.6445016881362338,4,4,4.0,0.0,Resolved,BB004,4,0.9552955650582873,0.6048108642422575,Transfer recommended
2024-10-06,BB001,AB+,Platelets,1,3.733989265627648,3,3,4.0,0.0,Resolved,BB004,3,0.9462172701484473,0.6816692369190115,Transfer recommended
2024-10-07,BB001,AB+,Platelets,0,4.084086141867477,5,5,5.0,0.0,Resolved,BB011,5,0.9243835603892888,0.6682026871593962,Transfer recommended
2024-11-12,BB001,AB+,Platelets,1,2.375334076647023,2,2,3.0,0.0,Resolved,BB007,2,0.9372614119294725,0.5366091890697107,Transfer recommended
2024-11-29,BB001,AB+,Platelets,0,2.296837756784346,3,3,3.0,0.0,Resolved,BB003,3,0.942427720692791,0.6351204095642196,Transfer recommended
2024-12-03,BB001,AB+,Platelets,0,3.0854027376575037,4,4,4.0,0.0,Resolved,BB003,4,0.9351952319972501,0.5385823542943149,Transfer recommended
2024-12-04,BB001,AB+,Platelets,0,3.930072598099613,4,4,4.0,0.0,Resolved,BB003,4,0.9240208851252641,0.6880821932500871,Transfer recommended
2024-12-06,BB001,AB+,Platelets,1,3.716901161253842,3,3,4.0,0.0,Resolved,BB003,3,0.9140463983885792,0.6337516548397075,Transfer recommended
2024-12-07,BB001,AB+,Platelets,2,3.6967532835351293,2,1,3.0,0.6967532835351293,Resolved,BB004,1,0.9107523542709898,0.6615360422736896,Transfer recommended
2024-12-08,BB001,AB+,Platelets,2,3.4608480871225473,2,2,4.0,0.0,Resolved,BB004,2,0.9122640234114459,0.6388377419048687,Transfer recommended
2024-12-09,BB001,AB+,Platelets,2,3.4608480871225473,2,2,4.0,0.0,Resolved,BB009,2,0.9421115476911971,0.6348593367742414,Transfer recommended
2024-12-10,BB001,AB+,Platelets,2,3.412323915249234,2,2,4.0,0.0,Resolved,BB003,2,0.9315915168804871,0.6169380250919136,Transfer recommended
2024-12-12,BB001,AB+,Platelets,1,3.412323915249234,3,3,4.0,0.0,Resolved,BB003,3,0.9147022745020987,0.6381006401287765,Transfer recommended
2024-12-13,BB001,AB+,Platelets,2,3.2940045008968664,2,2,4.0,0.0,Resolved,BB003,2,0.9041171346691739,0.6365554639255293,Transfer recommended
2024-12-14,BB001,AB+,Platelets,0,3.3921760375305214,4,4,4.0,0.0,Resolved,BB003,4,0.885369378859634,0.6527681758894159,Transfer recommended
2024-12-15,BB001,AB+,Platelets,0,4.3144779706204455,5,5,5.0,0.0,Resolved,BB003,5,0.9067669503780548,0.6870457767966178,Transfer recommended
2024-12-16,BB001,AB+,Platelets,0,3.97339055928582,4,4,4.0,0.0,Resolved,BB007,4,0.8961879392546205,0.6872446888459963,Transfer recommended
2024-12-17,BB001,AB+,Platelets,0,4.227918196221231,5,5,5.0,0.0,Resolved,BB007,5,0.9095716344329224,0.6888738233924511,Transfer recommended
2024-12-19,BB001,AB+,Platelets,2,4.398466506055775,3,3,5.0,0.0,Resolved,BB010,3,0.8246019154365029,0.6407654414691439,Transfer recommended
2024-12-20,BB001,AB+,Platelets,1,4.398466506055775,4,4,5.0,0.0,Resolved,BB003,4,0.9192524289091842,0.6678100387423449,Transfer recommended
2024-12-21,BB001,AB+,Platelets,0,4.259999213984697,5,5,5.0,0.0,Resolved,BB007,5,0.9149246388968038,0.6793200246243505,Transfer recommended
2024-12-22,BB001,AB+,Platelets,0,4.280147091703409,5,5,5.0,0.0,Resolved,BB003,5,0.9179318673072302,0.6888414257372129,Transfer recommended
2024-12-23,BB001,AB+,Platelets,1,4.280147091703409,4,4,5.0,0.0,Resolved,BB003,4,0.9087488534303407,0.6886353850253568,Transfer recommended
2024-12-24,BB001,AB+,Platelets,0,4.280147091703409,5,5,5.0,0.0,Resolved,BB003,5,0.9120570446412752,0.6801986073086064,Transfer recommended
2024-12-25,BB001,AB+,Platelets,1,4.280147091703409,4,4,5.0,0.0,Resolved,BB005,4,0.9218530209682003,0.6880504860202208,Transfer recommended
2024-12-26,BB001,AB+,Platelets,1,4.19484624959341,4,4,5.0,0.0,Resolved,BB005,4,0.9218530209682003,0.6801464636528031,Transfer recommended
2024-12-27,BB001,AB+,Platelets,2,4.19484624959341,3,3,5.0,0.0,Resolved,BB010,3,0.8568593987384475,0.6800357565635795,Transfer recommended
2024-11-03,BB001,B+,Platelets,9,10.276615857918664,2,2,11.0,0.0,Resolved,BB006,2,0.9391186200222988,0.540508296679741,Transfer recommended
2024-11-04,BB001,B+,Platelets,2,10.076889159091769,9,9,11.0,0.0,Resolved,BB004,9,0.9436781840670395,0.6500241036197458,Transfer recommended
2024-11-07,BB001,B+,Platelets,0,10.467893019657584,11,10,10.0,0.4678930196575841,Resolved,BB004,10,0.8800155495788908,0.6309860553928561,Transfer recommended
2024-11-08,BB001,B+,Platelets,5,10.743528512683021,6,6,11.0,0.0,Resolved,BB011,6,0.8444937577078909,0.738183412561473,Transfer recommended
2024-11-09,BB001,B+,Platelets,8,10.429815642523838,3,3,11.0,0.0,Resolved,BB011,3,0.8902151675932193,0.6338169760506065,Transfer recommended
2024-11-10,BB001,B+,Platelets,1,10.876343989805665,10,10,11.0,0.0,Resolved,BB006,10,0.9188155644415675,0.6802169191728031,Transfer recommended
2024-11-11,BB001,B+,Platelets,4,11.22960998168743,8,8,12.0,0.0,Resolved,BB006,8,0.9191972310883785,0.7387797984652196,Transfer recommended
2024-11-12,BB001,B+,Platelets,6,11.176219926165503,6,6,12.0,0.0,Resolved,BB011,6,0.912035988807888,0.7198140428691697,Transfer recommended
2024-11-13,BB001,B+,Platelets,8,10.99974226915502,3,3,11.0,0.0,Resolved,BB006,3,0.940825881228182,0.6494548200641364,Transfer recommended
2024-11-14,BB001,B+,Platelets,6,10.785761079470293,5,5,11.0,0.0,Resolved,BB006,5,0.8348417540434453,0.6611947899916533,Transfer recommended
2024-11-15,BB001,B+,Platelets,9,10.74678862024436,2,2,11.0,0.0,Resolved,BB006,2,0.9371937775340556,0.6178420565862122,Transfer recommended
2024-11-16,BB001,B+,Platelets,0,10.608758194916028,11,6,6.0,4.608758194916028,Partially Resolved,BB006,6,0.9400047795784879,0.6627526518646213,Transfer plus external replenishment required
2024-11-17,BB001,B+,Platelets,0,10.968774330555544,11,5,5.0,5.968774330555544,Partially Resolved,BB011,5,0.8818153384604931,0.7329402253122099,Transfer plus external replenishment required
2024-11-18,BB001,B+,Platelets,5,11.029517465665423,7,7,12.0,0.0,Resolved,BB003,7,0.9061920286363151,0.7399605457578249,Transfer recommended
2024-11-19,BB001,B+,Platelets,2,10.968774330555544,9,9,11.0,0.0,Resolved,BB003,9,0.9407933143873202,0.7065045963511416,Transfer recommended
2024-11-20,BB001,B+,Platelets,6,10.9843218128014,5,5,11.0,0.0,Resolved,BB003,5,0.9276848455644675,0.7102025771004857,Transfer recommended
2024-11-21,BB001,B+,Platelets,7,11.203919321799049,5,5,12.0,0.0,Resolved,BB003,5,0.8925701864990131,0.6659622591691858,Transfer recommended
2024-11-22,BB001,B+,Platelets,1,11.183887557744077,11,11,12.0,0.0,Resolved,BB006,11,0.8819769061780065,0.6908794167391388,Transfer recommended
2024-11-23,BB001,B+,Platelets,1,10.720649325185098,10,10,11.0,0.0,Resolved,BB005,10,0.9235901114559838,0.7250700254784221,Transfer recommended
2024-12-08,BB001,B+,Platelets,7,11.370009526641025,5,5,12.0,0.0,Resolved,BB009,5,0.9410062863179337,0.6377377643106507,Transfer recommended
2024-12-09,BB001,B+,Platelets,9,11.211822251595061,3,3,12.0,0.0,Resolved,BB002,3,0.9457203073898832,0.6426772309921632,Transfer recommended
2024-12-12,BB001,B+,Platelets,3,11.050790312189626,9,9,12.0,0.0,Resolved,BB005,9,0.9468206997813519,0.6063474591261669,Transfer recommended
2024-12-15,BB001,B+,Platelets,9,11.785106133905277,3,3,12.0,0.0,Resolved,BB005,3,0.9426558199179941,0.5831461283211699,Transfer recommended
2024-11-02,BB001,B-,Platelets,0,1.1231068387593621,2,2,2.0,0.0,Resolved,BB009,2,0.6444109006345945,0.3210200889578033,Transfer recommended
2024-11-03,BB001,B-,Platelets,0,1.0852220603921923,2,2,2.0,0.0,Resolved,BB009,2,0.8994624464387844,0.648974231016415,Transfer recommended
2024-11-09,BB001,B-,Platelets,0,1.06669135406452,2,2,2.0,0.0,Resolved,BB008,2,0.9275079415607702,0.569609956309532,Transfer recommended
2024-11-11,BB001,B-,Platelets,0,1.0091140503418872,2,2,2.0,0.0,Resolved,BB005,2,0.7892925526331955,0.5974908794799487,Transfer recommended
2024-11-17,BB001,B-,Platelets,0,1.032225216264376,2,0,0.0,1.032225216264376,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-11-18,BB001,B-,Platelets,0,1.0009976515547743,2,0,0.0,1.0009976515547743,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-10,BB001,B-,Platelets,0,1.0280996706060845,2,0,0.0,1.0280996706060845,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-11,BB001,B-,Platelets,0,1.0515562482299252,2,0,0.0,1.0515562482299252,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-12,BB001,B-,Platelets,0,1.0324473263224012,2,0,0.0,1.0324473263224012,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-13,BB001,B-,Platelets,0,1.0673023129940007,2,0,0.0,1.0673023129940007,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-14,BB001,B-,Platelets,0,1.0673023129940007,2,0,0.0,1.0673023129940007,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-29,BB001,B-,Platelets,0,1.2661096979213156,2,0,0.0,1.2661096979213156,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-30,BB001,B-,Platelets,0,1.1999606430483207,2,0,0.0,1.1999606430483207,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-10-02,BB001,O+,Platelets,13,18.69163761534683,6,6,19.0,0.0,Resolved,BB007,6,0.9612393225503778,0.7097254481832,Transfer recommended
2024-10-03,BB001,O+,Platelets,9,18.40770511567344,10,10,19.0,0.0,Resolved,BB007,10,0.9472170352331203,0.7792323047331762,Transfer recommended
2024-10-04,BB001,O+,Platelets,16,18.317020045213226,3,3,19.0,0.0,Resolved,BB007,3,0.9388228976695719,0.6989260815861946,Transfer recommended
2024-10-06,BB001,O+,Platelets,8,17.852213083040574,10,10,18.0,0.0,Resolved,BB007,10,0.9359458678306655,0.5991152760242033,Transfer recommended
2024-10-07,BB001,O+,Platelets,15,18.262136394779336,4,4,19.0,0.0,Resolved,BB003,4,0.9398797657182594,0.715752769391617,Transfer recommended
2024-10-08,BB001,O+,Platelets,9,17.397432800525518,9,9,18.0,0.0,Resolved,BB003,9,0.8893882006496594,0.7163950902972174,Transfer recommended
2024-10-09,BB001,O+,Platelets,15,17.32864084961074,3,3,18.0,0.0,Resolved,BB012,3,0.8894179545220937,0.6860103778045974,Transfer recommended
2024-10-10,BB001,O+,Platelets,0,17.366838795770636,18,18,18.0,0.0,Resolved,BB009,18,0.9197916606132189,0.7033107735898814,Transfer recommended
2024-10-22,BB001,O+,Platelets,17,18.386893008152516,2,2,19.0,0.0,Resolved,BB010,2,0.9172145778425522,0.5712852534765303,Transfer recommended
2024-12-24,BB001,O+,Platelets,3,19.452912554557482,17,9,12.0,7.452912554557482,Partially Resolved,BB007,9,0.9257849774544631,0.7407796569850278,Transfer plus external replenishment required
2024-12-25,BB001,O+,Platelets,13,20.41847213140315,8,8,21.0,0.0,Resolved,BB010,8,0.9191126318444607,0.7696083700607859,Transfer recommended
2024-12-26,BB001,O+,Platelets,15,19.09853566235068,5,5,20.0,0.0,Resolved,BB006,5,0.9214705592541031,0.7361174766451395,Transfer recommended
2024-10-04,BB001,O-,Platelets,1,2.3440913558278615,2,2,3.0,0.0,Resolved,BB008,2,0.9175542769745436,0.4877359114335576,Transfer recommended
2024-12-03,BB001,O-,Platelets,0,1.7371528188382435,2,2,2.0,0.0,Resolved,BB009,2,0.9135161075623422,0.6432697907317959,Transfer recommended
2024-12-04,BB001,O-,Platelets,0,1.7407252417558063,2,2,2.0,0.0,Resolved,BB009,2,0.8373869361425909,0.6696009798110439,Transfer recommended
2024-12-13,BB001,O-,Platelets,1,2.1856411150783996,2,2,3.0,0.0,Resolved,BB005,2,0.6684910203422435,0.5806189760395435,Transfer recommended
2024-12-14,BB001,O-,Platelets,0,2.2797517781894756,3,3,3.0,0.0,Resolved,BB005,3,0.9022912339312062,0.6526515649898401,Transfer recommended
2024-12-15,BB001,O-,Platelets,0,2.260105749742098,3,3,3.0,0.0,Resolved,BB005,3,0.9261279511830528,0.6782712380002267,Transfer recommended
2024-10-02,BB002,A+,Platelets,3,6.618266107540577,4,4,7.0,0.0,Resolved,BB003,4,0.9362068452799737,0.5610872224596348,Transfer recommended
2024-10-03,BB002,A+,Platelets,0,6.800089724071812,7,7,7.0,0.0,Resolved,BB003,7,0.9204588712697411,0.6598903726962626,Transfer recommended
2024-11-02,BB002,A+,Platelets,3,4.096700920101027,2,2,5.0,0.0,Resolved,BB005,2,0.8165331984855282,0.48360915608245925,Transfer recommended
2024-11-03,BB002,A+,Platelets,1,4.325959843861946,4,4,5.0,0.0,Resolved,BB004,4,0.819795786884118,0.6239806402113008,Transfer recommended
2024-11-04,BB002,A+,Platelets,3,4.299079630981328,2,2,5.0,0.0,Resolved,BB005,2,0.9257813841707113,0.611545439740302,Transfer recommended
2024-12-19,BB002,A+,Platelets,2,7.20996949318658,6,6,8.0,0.0,Resolved,BB009,6,0.9544195707727691,0.5015160235921541,Transfer recommended
2024-12-21,BB002,A+,Platelets,6,7.245517661194777,2,2,8.0,0.0,Resolved,BB007,2,0.9387746683262229,0.5662321646628536,Transfer recommended
2024-12-22,BB002,A+,Platelets,0,7.915732424424525,8,7,7.0,0.9157324244245251,Resolved,BB007,7,0.9533006295976563,0.6524673377775505,Transfer recommended
2024-12-23,BB002,A+,Platelets,0,7.915732424424525,8,8,8.0,0.0,Resolved,BB008,8,0.9510812867593528,0.7009072324944865,Transfer recommended
2024-12-24,BB002,A+,Platelets,1,8.164997829754945,8,8,9.0,0.0,Resolved,BB010,8,0.9399178251835747,0.7035451116579889,Transfer recommended
2024-12-25,BB002,A+,Platelets,2,7.915732424424525,6,6,8.0,0.0,Resolved,BB008,6,0.9282883055272789,0.6960950590614428,Transfer recommended
2024-12-26,BB002,A+,Platelets,0,8.214036196665349,9,9,9.0,0.0,Resolved,BB006,9,0.9325328105571132,0.6986219904001055,Transfer recommended
2024-12-27,BB002,A+,Platelets,0,7.857853552047587,8,8,8.0,0.0,Resolved,BB001,8,0.9467996178846014,0.7015935626477812,Transfer recommended
2024-12-28,BB002,A+,Platelets,4,8.703855664709192,5,5,9.0,0.0,Resolved,BB001,5,0.9557647307228601,0.7004618832612686,Transfer recommended
2024-12-30,BB002,A+,Platelets,7,9.126872119420439,3,3,10.0,0.0,Resolved,BB001,3,0.9524497857439819,0.5452846826353459,Transfer recommended
2024-10-01,BB002,AB+,Platelets,1,2.4618619807218693,2,2,3.0,0.0,Resolved,BB003,2,0.9131362799659346,0.6741087564251734,Transfer recommended
2024-10-03,BB002,AB+,Platelets,0,2.6441943346004466,3,3,3.0,0.0,Resolved,BB004,3,0.9441921154500154,0.6188016344442442,Transfer recommended
2024-10-04,BB002,AB+,Platelets,0,2.814864476275309,3,3,3.0,0.0,Resolved,BB004,3,0.9371364742255818,0.6788150062503491,Transfer recommended
2024-10-05,BB002,AB+,Platelets,2,3.188980243573473,2,2,4.0,0.0,Resolved,BB004,2,0.9552955650582873,0.6392976244739218,Transfer recommended
2024-10-07,BB002,AB+,Platelets,0,2.814864476275309,3,3,3.0,0.0,Resolved,BB011,3,0.9243835603892888,0.6210048561207828,Transfer recommended
2024-10-08,BB002,AB+,Platelets,1,2.5912692092928897,2,2,3.0,0.0,Resolved,BB004,2,0.9334392702287685,0.6771306839026794,Transfer recommended
2024-10-09,BB002,AB+,Platelets,1,2.409905173156718,2,2,3.0,0.0,Resolved,BB004,2,0.9391110821875048,0.65248938370589,Transfer recommended
2024-10-10,BB002,AB+,Platelets,1,2.3246043310467184,2,2,3.0,0.0,Resolved,BB009,2,0.9422117383782632,0.6496070491744181,Transfer recommended
2024-10-12,BB002,AB+,Platelets,1,2.081399487468423,2,2,3.0,0.0,Resolved,BB005,2,0.9185729055527969,0.6002932931874174,Transfer recommended
2024-10-13,BB002,AB+,Platelets,0,2.0703198004775345,3,3,3.0,0.0,Resolved,BB007,3,0.9115313001680314,0.6468635815637247,Transfer recommended
2024-11-14,BB002,AB+,Platelets,0,1.25987633156625,2,2,2.0,0.0,Resolved,BB006,2,0.9237367899970749,0.5502137064994636,Transfer recommended
2024-11-19,BB002,AB+,Platelets,0,1.5024936969464673,2,2,2.0,0.0,Resolved,BB005,2,0.8718753600900402,0.570178888438516,Transfer recommended
2024-11-20,BB002,AB+,Platelets,0,1.6370039791031938,2,2,2.0,0.0,Resolved,BB005,2,0.9073008455285569,0.6690899257116263,Transfer recommended
2024-11-21,BB002,AB+,Platelets,0,1.4926256998057406,2,2,2.0,0.0,Resolved,BB005,2,0.9176370024606572,0.664513909839712,Transfer recommended
2024-11-22,BB002,AB+,Platelets,0,1.4926256998057406,2,2,2.0,0.0,Resolved,BB005,2,0.9291346074627764,0.6624751610801467,Transfer recommended
2024-11-23,BB002,AB+,Platelets,0,1.531555259274482,2,2,2.0,0.0,Resolved,BB005,2,0.9212897425465407,0.6642376938268295,Transfer recommended
2024-11-24,BB002,AB+,Platelets,0,1.4537019656273824,2,2,2.0,0.0,Resolved,BB005,2,0.9317834628504749,0.6644465411142266,Transfer recommended
2024-11-25,BB002,AB+,Platelets,0,1.4224744009177812,2,2,2.0,0.0,Resolved,BB005,2,0.9345079740474731,0.6628270866509788,Transfer recommended
2024-11-28,BB002,AB+,Platelets,0,1.4085868439704623,2,2,2.0,0.0,Resolved,BB003,2,0.9374655405111482,0.6258806490346271,Transfer recommended
2024-11-29,BB002,AB+,Platelets,0,1.353081829700572,2,2,2.0,0.0,Resolved,BB003,2,0.942427720692791,0.6566941803036612,Transfer recommended
2024-11-30,BB002,AB+,Platelets,0,1.42326263917133,2,2,2.0,0.0,Resolved,BB003,2,0.9474330873083615,0.6549574690617095,Transfer recommended
2024-12-01,BB002,AB+,Platelets,0,1.4520976944660497,2,2,2.0,0.0,Resolved,BB003,2,0.9469340508832905,0.6591943374836744,Transfer recommended
2024-12-02,BB002,AB+,Platelets,0,1.4520976944660497,2,2,2.0,0.0,Resolved,BB003,2,0.9355397167897354,0.6591943374836744,Transfer recommended
2024-12-08,BB002,AB+,Platelets,0,1.483456209754277,2,2,2.0,0.0,Resolved,BB004,2,0.9122640234114459,0.6281797699483472,Transfer recommended
2024-12-09,BB002,AB+,Platelets,0,1.5710076975256269,2,2,2.0,0.0,Resolved,BB009,2,0.9421115476911971,0.651061907612009,Transfer recommended
2024-12-13,BB002,AB+,Platelets,0,1.491021428644408,2,2,2.0,0.0,Resolved,BB003,2,0.9041171346691739,0.552031042531919,Transfer recommended
2024-12-14,BB002,AB+,Platelets,0,1.5508598198069148,2,2,2.0,0.0,Resolved,BB003,2,0.885369378859634,0.6697573446325991,Transfer recommended
2024-12-15,BB002,AB+,Platelets,0,1.609931431703985,2,2,2.0,0.0,Resolved,BB007,2,0.8809538820838656,0.6667882515596639,Transfer recommended
2024-12-24,BB002,AB+,Platelets,0,1.8726291253538065,2,2,2.0,0.0,Resolved,BB003,2,0.9120570446412752,0.3092034831149523,Transfer recommended
2024-12-25,BB002,AB+,Platelets,0,1.8320954952840125,2,2,2.0,0.0,Resolved,BB003,2,0.8900050075220983,0.6734407137991333,Transfer recommended
2024-12-26,BB002,AB+,Platelets,0,1.6952322738139847,2,2,2.0,0.0,Resolved,BB003,2,0.8884800694699171,0.6728355841702727,Transfer recommended
2024-12-27,BB002,AB+,Platelets,0,1.6389083507522355,2,2,2.0,0.0,Resolved,BB010,2,0.8568593987384475,0.667556167740166,Transfer recommended
2024-12-28,BB002,AB+,Platelets,0,1.75644260329541,2,2,2.0,0.0,Resolved,BB003,2,0.8665134147103255,0.6721736626197027,Transfer recommended
2024-12-29,BB002,AB+,Platelets,0,1.6144050522493372,2,2,2.0,0.0,Resolved,BB010,2,0.9196275112746637,0.6598505975624487,Transfer recommended
2024-10-01,BB002,B+,Platelets,4,6.788033345409995,3,3,7.0,0.0,Resolved,BB001,3,0.8797138111091721,0.5152551281776686,Transfer recommended
2024-10-02,BB002,B+,Platelets,5,6.723447496253739,2,2,7.0,0.0,Resolved,BB001,2,0.9362195216560731,0.5840605647795666,Transfer recommended
2024-10-03,BB002,B+,Platelets,4,5.471787200017373,2,2,6.0,0.0,Resolved,BB008,2,0.8975439700683673,0.539164307946072,Transfer recommended
2024-10-04,BB002,B+,Platelets,4,5.495014037828702,2,2,6.0,0.0,Resolved,BB001,2,0.9312888794867615,0.5786250209649535,Transfer recommended
2024-10-05,BB002,B+,Platelets,0,5.474866160109991,6,6,6.0,0.0,Resolved,BB001,6,0.9358640532113586,0.641736950725875,Transfer recommended
2024-10-06,BB002,B+,Platelets,0,6.5907134474942195,7,6,6.0,0.5907134474942195,Resolved,BB001,6,0.948903294882197,0.6945192653457447,Transfer recommended
2024-10-07,BB002,B+,Platelets,1,6.876577598421961,6,6,7.0,0.0,Resolved,BB001,6,0.9307830088804364,0.6986642996233219,Transfer recommended
2024-10-08,BB002,B+,Platelets,0,6.861030116176103,7,6,6.0,0.8610301161761029,Resolved,BB001,6,0.9146156443279272,0.6886577201004072,Transfer recommended
2024-10-09,BB002,B+,Platelets,2,6.75068598821651,5,5,7.0,0.0,Resolved,BB001,5,0.9361738949948364,0.6936317334015997,Transfer recommended
2024-10-10,BB002,B+,Platelets,5,6.866536745911429,2,2,7.0,0.0,Resolved,BB008,2,0.9267367107646476,0.6183884027465163,Transfer recommended
2024-10-17,BB002,B+,Platelets,0,6.910623474574225,7,7,7.0,0.0,Resolved,BB006,7,0.9439210202487168,0.5412442191514997,Transfer recommended
2024-10-18,BB002,B+,Platelets,2,7.055633754151099,6,6,8.0,0.0,Resolved,BB006,6,0.9329859152627025,0.6944928048016112,Transfer recommended
2024-10-19,BB002,B+,Platelets,2,7.111073631109186,6,6,8.0,0.0,Resolved,BB006,6,0.93959381842767,0.6839532781278477,Transfer recommended
2024-10-20,BB002,B+,Platelets,0,7.079217498669544,8,8,8.0,0.0,Resolved,BB006,8,0.9347532422747923,0.6740648091370859,Transfer recommended
2024-11-06,BB002,B+,Platelets,1,5.866458038826326,5,5,6.0,0.0,Resolved,BB004,5,0.9145790604678169,0.4963290849907309,Transfer recommended
2024-11-07,BB002,B+,Platelets,0,5.866458038826326,6,6,6.0,0.0,Resolved,BB004,6,0.8800155495788908,0.672345865614529,Transfer recommended
2024-11-09,BB002,B+,Platelets,3,5.86311438231563,3,3,6.0,0.0,Resolved,BB011,3,0.8902151675932193,0.5719914045945362,Transfer recommended
2024-11-29,BB002,B+,Platelets,0,5.034625427587762,6,6,6.0,0.0,Resolved,BB005,6,0.9269815127001308,0.5131585107944081,Transfer recommended
2024-11-30,BB002,B+,Platelets,2,5.686538619266182,4,4,6.0,0.0,Resolved,BB011,4,0.9282964891391008,0.6955973096409148,Transfer recommended
2024-12-01,BB002,B+,Platelets,3,5.643054664319383,3,3,6.0,0.0,Resolved,BB005,3,0.8469859657905965,0.668140070828933,Transfer recommended
2024-10-03,BB002,O+,Platelets,3,10.056046946903887,8,8,11.0,0.0,Resolved,BB007,8,0.9472170352331203,0.46536303092946646,Transfer recommended
