date,blood_bank_id,blood_group,component_type,opening_inventory,donations_collected,units_discarded_tti,transfers_in,transfers_out,units_requested,units_fulfilled,units_expired,units_wasted,closing_inventory
2023-01-01,BB004,AB+,PRBC,18,4,0,1,0,0,0,0,0,23
2023-01-01,BB004,AB+,Platelets,9,4,0,0,0,0,0,0,0,13
2023-01-01,BB004,AB+,FFP,6,5,0,0,0,3,3,0,0,8
2023-01-01,BB004,O-,PRBC,9,1,0,0,0,4,4,0,0,6
2023-01-01,BB004,O-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB004,O-,FFP,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB004,B-,PRBC,6,2,0,0,0,2,2,0,0,6
2023-01-01,BB004,B-,Platelets,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB004,B-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB004,A-,PRBC,6,2,0,0,0,1,1,0,0,7
2023-01-01,BB004,A-,Platelets,3,1,0,0,0,0,0,0,0,4
2023-01-01,BB004,A-,FFP,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB004,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB004,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB004,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB005,O+,PRBC,102,39,0,0,0,78,78,0,0,63
2023-01-01,BB005,O+,Platelets,45,25,0,0,0,7,7,0,0,63
2023-01-01,BB005,O+,FFP,36,2,0,0,0,9,9,0,0,29
2023-01-01,BB005,B+,PRBC,63,14,0,0,0,7,7,0,0,70
2023-01-01,BB005,B+,Platelets,27,0,0,0,0,1,1,0,0,26
2023-01-01,BB005,B+,FFP,21,8,0,0,0,17,17,0,0,12
2023-01-01,BB005,A+,PRBC,57,4,0,0,0,6,6,0,0,55
2023-01-01,BB005,A+,Platelets,24,4,0,0,0,7,7,0,0,21
2023-01-01,BB005,A+,FFP,21,7,0,0,0,1,1,0,0,27
2023-01-01,BB005,AB+,PRBC,18,0,0,0,0,0,0,0,0,18
2023-01-01,BB005,AB+,Platelets,9,1,0,0,0,0,0,0,0,10
2023-01-01,BB005,AB+,FFP,6,0,0,0,0,1,1,0,0,5
2023-01-01,BB005,O-,PRBC,9,0,0,0,0,1,1,0,0,8
2023-01-01,BB005,O-,Platelets,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB005,O-,FFP,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB005,B-,PRBC,6,5,0,0,0,0,0,0,0,11
2023-01-01,BB005,B-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB005,B-,FFP,0,0,0,0,0,1,0,0,0,0
2023-01-01,BB005,A-,PRBC,6,1,0,0,0,1,1,0,0,6
2023-01-01,BB005,A-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB005,A-,FFP,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB005,AB-,PRBC,0,2,0,0,0,0,0,0,0,2
2023-01-01,BB005,AB-,Platelets,0,0,0,0,0,1,0,0,0,0
2023-01-01,BB005,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB006,O+,PRBC,102,3,0,0,0,29,29,0,0,76
2023-01-01,BB006,O+,Platelets,45,1,0,0,0,18,18,0,0,28
2023-01-01,BB006,O+,FFP,36,3,0,0,0,8,8,0,0,31
2023-01-01,BB006,B+,PRBC,63,16,0,0,0,2,2,0,0,77
2023-01-01,BB006,B+,Platelets,27,2,0,0,0,5,5,0,0,24
2023-01-01,BB006,B+,FFP,21,12,0,5,0,2,2,0,0,36
2023-01-01,BB006,A+,PRBC,57,4,0,0,0,3,3,0,0,58
2023-01-01,BB006,A+,Platelets,24,17,0,0,0,0,0,0,0,41
2023-01-01,BB006,A+,FFP,21,2,0,0,0,5,5,0,0,18
2023-01-01,BB006,AB+,PRBC,18,5,0,0,3,1,1,0,0,19
2023-01-01,BB006,AB+,Platelets,9,0,0,0,5,1,1,0,0,3
2023-01-01,BB006,AB+,FFP,6,5,0,0,0,1,1,0,0,10
2023-01-01,BB006,O-,PRBC,9,3,0,0,0,2,2,0,0,10
2023-01-01,BB006,O-,Platelets,3,1,0,0,0,0,0,0,0,4
2023-01-01,BB006,O-,FFP,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB006,B-,PRBC,6,1,0,0,0,2,2,0,0,5
2023-01-01,BB006,B-,Platelets,3,3,0,0,0,0,0,0,0,6
2023-01-01,BB006,B-,FFP,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB006,A-,PRBC,6,2,0,0,0,1,1,0,0,7
2023-01-01,BB006,A-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB006,A-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB006,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB006,AB-,Platelets,0,0,0,4,0,0,0,0,0,4
2023-01-01,BB006,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB007,O+,PRBC,102,11,0,0,0,35,35,0,0,78
2023-01-01,BB007,O+,Platelets,45,1,0,0,0,9,9,0,0,37
2023-01-01,BB007,O+,FFP,36,1,0,0,0,6,6,0,0,31
2023-01-01,BB007,B+,PRBC,63,8,0,5,0,18,18,0,0,58
2023-01-01,BB007,B+,Platelets,27,0,0,0,0,1,1,0,0,26
2023-01-01,BB007,B+,FFP,21,4,0,0,0,5,5,0,0,20
2023-01-01,BB007,A+,PRBC,57,3,0,0,0,3,3,0,0,57
2023-01-01,BB007,A+,Platelets,24,19,0,0,0,8,8,0,0,35
2023-01-01,BB007,A+,FFP,21,5,0,0,0,6,6,0,0,20
2023-01-01,BB007,AB+,PRBC,18,0,0,1,0,1,1,0,0,18
2023-01-01,BB007,AB+,Platelets,9,3,0,0,0,4,4,0,0,8
2023-01-01,BB007,AB+,FFP,6,0,0,0,0,0,0,0,0,6
2023-01-01,BB007,O-,PRBC,9,0,0,3,0,3,3,0,0,9
2023-01-01,BB007,O-,Platelets,3,1,0,0,0,0,0,0,0,4
2023-01-01,BB007,O-,FFP,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB007,B-,PRBC,6,1,0,0,0,2,2,0,0,5
2023-01-01,BB007,B-,Platelets,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB007,B-,FFP,0,1,0,0,1,0,0,0,0,0
2023-01-01,BB007,A-,PRBC,6,1,0,0,0,1,1,0,0,6
2023-01-01,BB007,A-,Platelets,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB007,A-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB007,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB007,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB007,AB-,FFP,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB008,O+,PRBC,54,35,0,0,5,28,28,0,0,56
2023-01-01,BB008,O+,Platelets,24,5,0,0,0,7,7,0,0,22
2023-01-01,BB008,O+,FFP,18,7,0,0,0,6,6,0,0,19
2023-01-01,BB008,B+,PRBC,33,7,0,0,0,7,7,0,0,33
2023-01-01,BB008,B+,Platelets,15,5,0,0,0,2,2,0,0,18
2023-01-01,BB008,B+,FFP,12,1,0,0,0,1,1,0,0,12
2023-01-01,BB008,A+,PRBC,30,4,0,0,0,9,9,0,0,25
2023-01-01,BB008,A+,Platelets,12,0,0,0,0,2,2,0,0,10
2023-01-01,BB008,A+,FFP,9,2,0,0,2,1,1,0,0,8
2023-01-01,BB008,AB+,PRBC,9,0,0,0,0,2,2,0,0,7
2023-01-01,BB008,AB+,Platelets,3,2,0,0,0,0,0,0,0,5
2023-01-01,BB008,AB+,FFP,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB008,O-,PRBC,6,0,0,0,0,1,1,0,0,5
2023-01-01,BB008,O-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB008,O-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB008,B-,PRBC,3,1,0,0,0,0,0,0,0,4
2023-01-01,BB008,B-,Platelets,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB008,B-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB008,A-,PRBC,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB008,A-,Platelets,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB008,A-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB008,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB008,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB008,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB009,O+,PRBC,102,55,1,0,0,15,15,0,1,142
2023-01-01,BB009,O+,Platelets,45,1,0,0,0,14,14,0,0,32
2023-01-01,BB009,O+,FFP,36,4,0,0,0,9,9,0,0,31
2023-01-01,BB009,B+,PRBC,63,2,0,0,0,2,2,0,0,63
2023-01-01,BB009,B+,Platelets,27,7,0,0,0,8,8,0,0,26
2023-01-01,BB009,B+,FFP,21,6,0,0,0,3,3,0,0,24
2023-01-01,BB009,A+,PRBC,57,19,0,0,0,23,23,0,0,53
2023-01-01,BB009,A+,Platelets,24,6,0,0,0,4,4,0,0,26
2023-01-01,BB009,A+,FFP,21,3,0,0,0,5,5,0,0,19
2023-01-01,BB009,AB+,PRBC,18,0,0,0,0,4,4,0,0,14
2023-01-01,BB009,AB+,Platelets,9,1,0,0,0,4,4,0,0,6
2023-01-01,BB009,AB+,FFP,6,2,0,0,0,0,0,0,0,8
2023-01-01,BB009,O-,PRBC,9,2,0,0,0,3,3,0,0,8
2023-01-01,BB009,O-,Platelets,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB009,O-,FFP,3,2,0,0,0,1,1,0,0,4
2023-01-01,BB009,B-,PRBC,6,1,0,0,0,2,2,0,0,5
2023-01-01,BB009,B-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB009,B-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB009,A-,PRBC,6,0,0,0,0,5,5,0,0,1
2023-01-01,BB009,A-,Platelets,3,2,0,0,0,0,0,0,0,5
2023-01-01,BB009,A-,FFP,0,0,0,0,0,1,0,0,0,0
2023-01-01,BB009,AB-,PRBC,0,0,0,0,0,1,0,0,0,0
2023-01-01,BB009,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB009,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB010,O+,PRBC,102,24,0,0,0,11,11,0,0,115
2023-01-01,BB010,O+,Platelets,45,1,0,0,0,4,4,0,0,42
2023-01-01,BB010,O+,FFP,36,12,0,0,1,5,5,0,0,42
2023-01-01,BB010,B+,PRBC,63,15,0,0,0,22,22,0,0,56
2023-01-01,BB010,B+,Platelets,27,8,0,0,0,8,8,0,0,27
2023-01-01,BB010,B+,FFP,21,1,0,0,0,10,10,0,0,12
2023-01-01,BB010,A+,PRBC,57,2,0,0,0,9,9,0,0,50
2023-01-01,BB010,A+,Platelets,24,3,0,0,0,6,6,0,0,21
2023-01-01,BB010,A+,FFP,21,1,0,0,0,2,2,0,0,20
2023-01-01,BB010,AB+,PRBC,18,0,0,0,0,7,7,0,0,11
2023-01-01,BB010,AB+,Platelets,9,4,0,0,0,2,2,0,0,11
2023-01-01,BB010,AB+,FFP,6,2,0,0,0,1,1,0,0,7
2023-01-01,BB010,O-,PRBC,9,0,0,0,0,3,3,0,0,6
2023-01-01,BB010,O-,Platelets,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB010,O-,FFP,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB010,B-,PRBC,6,3,0,0,0,0,0,0,0,9
2023-01-01,BB010,B-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB010,B-,FFP,0,2,0,0,0,0,0,0,0,2
2023-01-01,BB010,A-,PRBC,6,1,0,0,0,0,0,0,0,7
2023-01-01,BB010,A-,Platelets,3,1,0,0,0,0,0,0,0,4
2023-01-01,BB010,A-,FFP,0,0,0,5,0,0,0,0,0,5
2023-01-01,BB010,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB010,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB010,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB011,O+,PRBC,54,4,0,0,0,4,4,0,0,54
2023-01-01,BB011,O+,Platelets,24,6,0,0,0,3,3,0,0,27
2023-01-01,BB011,O+,FFP,18,0,0,0,0,0,0,0,0,18
2023-01-01,BB011,B+,PRBC,33,16,0,0,0,7,7,0,0,42
2023-01-01,BB011,B+,Platelets,15,1,0,0,0,1,1,0,0,15
2023-01-01,BB011,B+,FFP,12,3,0,0,2,2,2,0,0,11
2023-01-01,BB011,A+,PRBC,30,2,0,0,0,8,8,0,0,24
2023-01-01,BB011,A+,Platelets,12,7,0,0,0,1,1,0,0,18
2023-01-01,BB011,A+,FFP,9,2,0,0,0,1,1,0,0,10
2023-01-01,BB011,AB+,PRBC,9,1,0,0,0,2,2,0,0,8
2023-01-01,BB011,AB+,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB011,AB+,FFP,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB011,O-,PRBC,6,1,0,0,0,1,1,0,0,6
2023-01-01,BB011,O-,Platelets,3,2,0,0,0,1,1,0,0,4
2023-01-01,BB011,O-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB011,B-,PRBC,3,2,0,0,0,1,1,0,0,4
2023-01-01,BB011,B-,Platelets,0,0,0,0,0,1,0,0,0,0
2023-01-01,BB011,B-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB011,A-,PRBC,3,1,0,0,0,0,0,0,0,4
2023-01-01,BB011,A-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB011,A-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB011,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB011,AB-,Platelets,0,0,0,3,0,0,0,0,0,3
2023-01-01,BB011,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,O+,PRBC,24,5,0,0,0,1,1,0,0,28
2023-01-01,BB012,O+,Platelets,9,4,0,0,0,3,3,0,0,10
2023-01-01,BB012,O+,FFP,9,2,0,0,0,2,2,0,0,9
2023-01-01,BB012,B+,PRBC,15,2,0,0,0,3,3,0,0,14
2023-01-01,BB012,B+,Platelets,6,0,0,0,0,0,0,0,0,6
2023-01-01,BB012,B+,FFP,3,1,0,0,0,0,0,0,0,4
2023-01-01,BB012,A+,PRBC,12,4,0,0,0,1,1,0,0,15
2023-01-01,BB012,A+,Platelets,6,1,0,0,0,2,2,0,0,5
2023-01-01,BB012,A+,FFP,3,2,0,0,0,0,0,0,0,5
2023-01-01,BB012,AB+,PRBC,3,2,0,0,0,4,4,0,0,1
2023-01-01,BB012,AB+,Platelets,0,2,0,0,0,0,0,0,0,2
2023-01-01,BB012,AB+,FFP,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB012,O-,PRBC,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB012,O-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,O-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,B-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,B-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,B-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,A-,PRBC,0,1,0,0,0,1,1,0,0,0
2023-01-01,BB012,A-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,A-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB012,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-02,BB001,O+,PRBC,92,15,0,0,1,13,13,0,0,93
2023-01-02,BB001,O+,Platelets,40,6,0,0,0,5,5,0,0,41
2023-01-02,BB001,O+,FFP,35,5,0,0,0,20,20,0,0,20
2023-01-02,BB001,B+,PRBC,47,24,0,0,0,15,15,0,0,56
2023-01-02,BB001,B+,Platelets,25,5,0,0,0,1,1,0,0,29
2023-01-02,BB001,B+,FFP,22,4,0,0,0,3,3,0,0,23
2023-01-02,BB001,A+,PRBC,48,1,0,0,0,13,13,0,0,36
2023-01-02,BB001,A+,Platelets,21,5,0,0,0,2,2,0,0,24
2023-01-02,BB001,A+,FFP,23,0,0,0,0,2,2,0,0,21
2023-01-02,BB001,AB+,PRBC,23,3,0,0,0,2,2,0,0,24
2023-01-02,BB001,AB+,Platelets,10,3,0,0,0,3,3,0,0,10
2023-01-02,BB001,AB+,FFP,5,1,0,0,0,1,1,0,0,5
2023-01-02,BB001,O-,PRBC,7,2,0,0,0,2,2,0,0,7
2023-01-02,BB001,O-,Platelets,3,2,0,0,0,1,1,0,0,4
2023-01-02,BB001,O-,FFP,2,2,0,0,0,0,0,0,0,4
2023-01-02,BB001,B-,PRBC,6,1,0,0,0,2,2,0,0,5
2023-01-02,BB001,B-,Platelets,3,0,0,0,0,1,1,0,0,2
2023-01-02,BB001,B-,FFP,0,1,0,0,0,0,0,0,0,1
2023-01-02,BB001,A-,PRBC,7,3,0,0,0,1,1,0,0,9
2023-01-02,BB001,A-,Platelets,3,2,0,0,0,0,0,0,0,5
2023-01-02,BB001,A-,FFP,1,0,0,0,0,0,0,0,0,1
2023-01-02,BB001,AB-,PRBC,0,1,0,0,0,0,0,0,0,1
2023-01-02,BB001,AB-,Platelets,1,0,0,0,0,0,0,0,0,1
2023-01-02,BB001,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-02,BB002,O+,PRBC,56,1,0,0,0,12,12,0,0,45
2023-01-02,BB002,O+,Platelets,25,1,0,3,0,9,9,0,0,20
2023-01-02,BB002,O+,FFP,17,5,0,0,0,5,5,0,0,17
2023-01-02,BB002,B+,PRBC,57,5,0,0,0,11,11,0,0,51
2023-01-02,BB002,B+,Platelets,17,2,0,0,0,2,2,0,0,17
2023-01-02,BB002,B+,FFP,16,3,0,0,0,2,2,0,0,17
2023-01-02,BB002,A+,PRBC,16,1,0,0,0,13,13,0,0,4
2023-01-02,BB002,A+,Platelets,17,2,0,0,0,3,3,0,0,16
2023-01-02,BB002,A+,FFP,17,1,0,0,0,2,2,0,0,16
2023-01-02,BB002,AB+,PRBC,4,0,0,0,0,0,0,0,0,4
2023-01-02,BB002,AB+,Platelets,0,1,0,0,0,3,1,0,0,0
2023-01-02,BB002,AB+,FFP,5,2,0,0,0,2,2,0,0,5
2023-01-02,BB002,O-,PRBC,4,0,0,0,0,1,1,0,0,3
2023-01-02,BB002,O-,Platelets,2,0,0,0,0,0,0,0,0,2
2023-01-02,BB002,O-,FFP,0,1,0,0,0,1,1,0,0,0
2023-01-02,BB002,B-,PRBC,4,1,0,0,0,0,0,0,0,5
2023-01-02,BB002,B-,Platelets,1,0,0,0,0,0,0,0,0,1
2023-01-02,BB002,B-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-02,BB002,A-,PRBC,2,3,0,0,0,0,0,0,0,5
2023-01-02,BB002,A-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-02,BB002,A-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-02,BB002,AB-,PRBC,0,0,0,3,0,0,0,0,0,3
2023-01-02,BB002,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-02,BB002,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-02,BB003,O+,PRBC,96,3,0,0,0,5,5,0,0,94
2023-01-02,BB003,O+,Platelets,43,5,0,0,0,9,9,0,0,39
2023-01-02,BB003,O+,FFP,70,4,0,0,0,7,7,0,0,67
2023-01-02,BB003,B+,PRBC,52,6,0,0,0,9,9,0,0,49
2023-01-02,BB003,B+,Platelets,30,4,0,0,0,3,3,0,0,31
2023-01-02,BB003,B+,FFP,21,6,0,0,0,1,1,0,0,26
2023-01-02,BB003,A+,PRBC,57,43,0,0,0,3,3,0,0,97
2023-01-02,BB003,A+,Platelets,39,5,0,0,0,4,4,0,0,40
2023-01-02,BB003,A+,FFP,18,0,0,0,0,1,1,0,0,17
2023-01-02,BB003,AB+,PRBC,39,7,0,0,0,1,1,0,0,45
2023-01-02,BB003,AB+,Platelets,6,1,0,0,0,0,0,0,0,7
2023-01-02,BB003,AB+,FFP,7,0,0,0,0,4,4,0,0,3
2023-01-02,BB003,O-,PRBC,8,1,0,0,0,5,5,0,0,4
2023-01-02,BB003,O-,Platelets,2,0,0,0,0,0,0,0,0,2
2023-01-02,BB003,O-,FFP,3,0,0,0,0,0,0,0,0,3
2023-01-02,BB003,B-,PRBC,8,0,0,0,0,1,1,0,0,7
2023-01-02,BB003,B-,Platelets,3,1,0,0,0,1,1,0,0,3
2023-01-02,BB003,B-,FFP,1,0,0,0,0,1,1,0,0,0
2023-01-02,BB003,A-,PRBC,5,1,0,0,0,2,2,0,0,4
